Rating,Title,Date,Verified Purchase,Body,Helpful Votes
,,,,,
5,Beautiful phone!,17-Mar-18,No,"My husband bought me this phone in the lilac purple color for my birthday,...it's gorgeous! I love the display and the infinity edge. For me this is a total upgrade from the S5 I've been using, I'm so glad I waited! Everything shows up bright and crystal clear. Even my email looks nicer!..The emojis you make using the camera do turn out a bit creepy,...they look like you but not really. At my age I don't think this is something I see myself using too often in chat or messenger. It's fun for all of maybe 10 minutes...The camera is nice, the pictures come out clean and clear. However I do wish all the features were explained a bit more in the manual  to make it easier to figure out. It's nice being able to scroll through the different modes with a swipe of your finger but the how-to's on using some of the different options would be nice if they were printed out in the manual for reference. I'm sure it would be easy enough to look on YouTube or Google,....Haha I suppose this is what happens when you go from an old phone and leap frog over a few generations and find yourself in the future. :p..I'm not too crazy about Bixby though, there should be a way to reassign the button to something else and remove the app entirely if you choose. I also like my camera settings set so you say ""Smile"", ""Shoot,"" ""Cheese"", ""Record video"", or another trigger word,... but unless you completely turn off the voice for Bixby  you can't use the voice command on the camera. One feature should not cancel out another,... maybe there will be a software update later on.  Or maybe I have completely missed the setting somewhere and will bump into it somewhere after I've used it more?..The speakers are excellent, music sounds great and phone calls come through very clear. Using speaker phone I actually had to turn call volume down, on my old phone it was hard to hear people talk and the mic didn't pick up very well either. Not the case here!..I love this phone!  It's a nice size, easy to hold, and looks great! It was also very easy to set up and after I played with it for awhile I found it simple to navigate with a few cool surprises thrown in for me to discover. Having read how similar this phone is to the S8 I can understand some people being annoyed at spending all their money and not really getting much more than they already had, but I did read before these were released  that they were similar and if I had an S8 I probably would not have bought this model. For the most part I still feel this is a great phone. I know for a fact I will have a great time taking pictures and videos of my kids and grandkids with it!..*3/21/18-  Added a few sample pictures,  one is a  close up (approx.12"" away, begging dog wanted my lunch), another a couple inches away, and the others from about 15 feet. No filters just had the camera set to auto and let it do its thing. Pictures come out clear and so much nicer than from my other phone. I've been playing with the other features as well and results are great too...Using the volume button to snap a quick picture is convenient, it makes taking pictures with this size phone so much easier. I'll have a great time using this camera when the grand kids visit!..The lock screen is a little annoying when you have to click the power button then do the swipe screen, but in a way it's useful, my old phone did all sorts of things on its own while tumbling around  in my bag. The hidden home button and the power button are both quick and responsive, either one quickly wakes the phone up but the home button brings up the home screen if you press it when the screen is off. You can always change the time out settings so your screen doesn't click off as fast to give you more time, so not really a big deal for me...This is a fun phone to have. Battery life for me is great, I keep the display on bright because it's just so pretty. I also have the time  out screen set for 5 minutes. I just charge my phone once a day and I'm good to go! No regrets with this phone.",156
,,,,,
5,The one,11-May-18,Yes,"Moved over from an iPhone 7 .If you can extract yourself from iOS (easier said than done), this is a great phone...Phone itself: excellent call quality. headphones are really nice and there is a headphone jack with no dongle and you don't HAVE to use bluetooth. charges so quickly...Camera: Fantastic in every way...Muzak: Am still a little confused on the various Samsung apps, esp Samsung Music which is so weird. Listening to music/ videos is really nice on this because of the full screen and the front facing speakers...Size: This is a great size ... perfect for me. I am a medium build person with medium sized hands. I did not want a phablet. This phone feels like something between an iPhone 7 and 7+ for comparison. Don't know how it actually compares but feels smaller than the iPhone +...Get a case on this thing. I am using the SUPCASE Unicorn Beetle ... it's thin and grippy.",19
,,,,,
5,Upgrading from s7,26-Mar-18,Yes,"Very nice upgrade from s7. I'm glad I went with the s9+ . I really like the big screen, and extra camera.",28
,,,,,
5,"Great upgrade from S6 era of phones, not from S8.",02-May-18,Yes,"This phone is leagues better than my S6 was, mostly due to refinement of the phone rather than innovation. It does everything you want it to, has a great camera, beautiful screen, and everything you've come to expect from a Samsung flagship...That said, it's not a massive improvement from the S8. It's more polished, but it is essentially the same phone...If your got a need to upgrade to a new device from a 3+ year old device, absolutely worth the investment. From a more modern phone, not so much.",31
,,,,,
4,Lilac S9+ .... What a Beauty,08-May-18,Yes,"I purchased the lilac purple phone Sunday afternoon and it was delivered Monday morning. The phone was new, no damages as others have talked about , with all parts and accessories included like you would get if you purchased it from Samsung.com. I also chose the bundle which included a 128 GB mini SD card as well as a Fast Wireless Charger stand. The bundle was at no extra cost so the price was $839 plus tax. Great deal if you ask me..  I am coming from a Samsung Note 8 and there are minor upgrades from the Note 8 but those minor upgrades was worth me buying the S9+ . The phone is snappy, the sound due to the dual speakers makes a world of a difference. The camera is better than my Note 8 and the AR emojis are fun. Once the Note 9 comes out, I will be sure to compare that against the S9+ but in the mean time, I will switch between this S9+ and my Note 8 as my daily driver. (Its something about the S pen on my Note 8 that I can not let go. Great phone. I would reccomend this device.",18
,,,,,
4,and it looks like Verizon won't sell me the coverage because I didn't ...,04-Jun-18,Yes,"WARNING: If you want a protection plan that covers loss or theft, don't buy your phone on Amazon! I just bought this Galaxy S9 and I can't find any company that will sell me a protection plan which covers loss or theft..Asurion seems to only sell warranties through phone carriers, Squaretrade doesn't cover theft, and it looks like Verizon won't sell me the coverage because I didn't buy the phone from them, also I'm not on contract. I'll update this if I have any luck, I'll probably just end up returning this and buying a phone from Verizon, even though I am mad at them :(...",7
,,,,,
4,"Happy, Happy",15-Apr-18,Yes,"Happy, Happy, Happy! Recommended that you still use a pin number or the finger scanner to unlock your phone and security pay type apps. The iris scanner has difficulties if you wear glasses! The facial recognition software works about 50 to 75 percent of the time",12
,,,,,
5,"Expensive, but worth every penny",29-Jun-18,Yes,"Light years better than any Apple iPhone product; so much more freedom and REAL user-friendly experience...it looks/acts like an actual computer. I can access any/all files, doesn't need any proprietary software...no hassles at all. The sound is really impressive with Samsung Music &amp; Dolby ATMOS too. USB-C charging is amazingly fast, expandable storage via MicroSDXC and the world's most amazing camera...the pricetag is a whopper at &gt;$700 for 64GB storage, but it is Android 8.0 (Oreo)...soon to upgrade to Android P.",3
,,,,,
3,You enjoyed having custom notification sounds for individual e-mails,06-Jul-18,Yes,"Too many missing features. You enjoyed having custom notification sounds for individual e-mails? Too bad, ""we're working on getting that feature back to you."" You want the Samsung e-mail app to automatically show you e-mails from longer than 6 months ago? Nope, you'll have to do a search. Does your VIP have more than one email address listed in his contacts? Oh, we'll just split them into two separate contacts when you import them into the email app! Oh, you want that person to show as only ONE contact? Too bad, that feature isn't available!.Honestly, the downgraded features make this ""upgraded"" phone average at best. Pay a premium price, get a standard phone. Great job, Samsung. I'll update this with a better review IF they put back these integral features.",1
,,,,,
5,Puchased this phone on pre-order back in March and have ...,31-May-18,Yes,"Puchased this phone on pre-order back in March and have been using it since the day I received it on Sprint. I was hesitant to purchase a phone outside of a Sprint store but it worked out well and there was only one hiccup in activating it. This phone does not come with a SIM, which apparently Sprint doesn't always carry in the store. After some searching a SIM was located and the associate switched my phones (S8 to S9) in about 10 minutes.",2
,,,,,
5,Love this!,11-May-18,Yes,"This is my most favorite phone! I can do so much with it. It was super simple to activate it with my carrier, I literally popped in my activated SIM card and was off and running. I have had it a few weeks now and I still keep finding more and more things to do with my phone. The purple color is amazing! I got mine as part of a bundle and still haven't used all the pieces. Great value too!",2
,,,,,
5,Nothing short of amazing!,21-Jul-18,Yes,"This phone is nothing short of amazing! It's my first top of the line premium phone, and I never knew, until now, what I'd been missing. It is blazing fast, the screen resolution is fantastic, and it can do so many things that I will be constantly discovering new functions. The dual speakers with the Dolby Atmos, sound so absolutely terrific, it's amazing that Samsung can pack so much sound into such small speakers. My last Samsung phone was a Galaxy Mega with the 6.3"" screen, and I loved the huge screen on it, and that is my only lament about the S9+, it has a 6.2"" screen, so you'd think it isn't that much smaller, but it is quite a bit smaller. Not length-wise, but smaller by a bunch height-wise, and I've missed that on every phone I've had since. That is the one thing that would make the S9+ absolutely perfect for me, a screen that big, but, I'll live without it in exchange for how great the rest of this phone is. I highly recommend this phone if you can possibly afford it, it's really outstanding.",0
,,,,,
4,"Samsung S7, A Good Pocket Computer and Telecommunications Device",13-May-18,Yes,"I upgraded to this Samsung S9 Model SM-G960U1 unlocked version from a Samsung S7.  The phone works just fine and the transfer of all my stuff from the old phone to the new went pretty well.  While the curved screen has a visual appeal I believe that a flat screen would be both more practical and easier to protect.  In terms of it being a tool, I haven't discovered anything new that this phone can do that the S7 couldn't do.  It comes with something called ""Bixby"" that I guess we're supposed to all just know what it is and what to do with it... guess I'm not interested in Bixby until I see some information that educates me on what it does and why I might need it... I do like Samsung phones and once you've grown accustomed to a company's android interface it makes sense to stay with what is familiar.  If you have an S7 or S8 there is probably no reason to upgrade to the S9 version unless you have money burning a hole in your pocket.  In my case, one of my son's needed a phone so he got my old S7 and I treated myself to a new phone.",12
,,,,,
4,great phone but a few problems and some thing you ...,14-May-18,Yes,great phone but a few problems and some thing you need to clear up and be more clear about when i got the phone it was not sealed and when i took it to get it actived i was told it was used other then that everything seems to be in the box and works just fine but you need to let ppl know these phones have been opened,4
,,,,,
5,Really good Phone. But you HAVE to buy insurance!!!!,12-Jul-18,Yes,"One of the best phones at the moment. My only complaint is that the glass is very, very, very sensitive to the hits, you  have to buy  a really good case for it. I had bought 2 Samsung Galaxy 8+ for my family. And 2 Samsung Galaxy 9+ for my self. Unfortunately the one prior to this one shattered.",2
,,,,,
4,Need my Phone,23-Apr-18,Yes,I like the phone but this one died. The other 2 are working great.  The exchange is slow especially when you need your phone. Still haven't got the replacement.,3
,,,,,
5,Did NOT work on Sprint!,20-Jul-18,Yes,"(It still gets 5/5 stars because the phone was functioning perfect, just doesn't work on Sprint).Okay, so after trying to activate the first one at Sprint, they said the phone was either the international version (it doesn't appear to be) or it was locked (also doesn't appear to be). So, Amazon was super helpful in exchanging the phone for another, saying the serial numbers must have been confused.  I try to activate the second one, and run into the same exact issue.  Sprint does NOT have the IMEIs of these phones on their list of eligible devices, regardless of everything (model/unlocked/unbranded) pointing to this phone being eligible.  Other carriers experience may vary.",0
,,,,,
5,Great Phone!,02-Jun-18,Yes,"Wow, this is a great phone! Very fast with excellent graphics. Comes with some wonderful toys. Some bloatware as well, but the apps are easy to get rid of. I love the fingerprint reader and some of the other security features. And for me it's the perfect size. Even with a cover it fits in my pocket and you don't have to squint to read texts. All in all, I could not recommend it more!",1
,,,,,
3,I had a google phone and liked it thought another android would be ok and had ...,14-Jun-18,Yes,I had a google phone and liked it thought another android would be ok and had samsungs before but this has more pop up ads everytime I sign in guess no matter where you buy this thing from it will be the same problem,2
,,,,,
5,Very happy with my purchase,22-Jun-18,Yes,"Very happy with my purchase. I was a little skeptical ordering it online, but decided to give it a go. Phone came within a couple days of ordering. Packaging was very good, and phone was in mint condition. Photo quality is awesome! This was one of my main reasons for purchasing this phone. I previously owned a Samsung S7. Some features have changed on the phone, for example the home button is no longer there, and has the Bixby feature which I am trying to figure out. Overall would highly recommend!",1
,,,,,
1,Heating issue and slow processor,15-Jun-18,Yes,Worst phone. It worked good for first month and now thermal heating up as if you are holding fireball in hand. Suddenly the processor is working too slow even the memory has pretty much free space.,9
,,,,,
5,Worth the purchase!,18-Jun-18,Yes,"I live in Canada and I purchased this phone. It's an unlocked phone like it states. So it works for all providers. You dont need to worry about that. Dont let the model number fool you. The model number is the North American version. The ""1"" you see at the end, only means it's an unlocked phone. Everything was in the box. Excellent condition. And it actually arrived 1 day before expected. Its absolutely fantastic for its price. I saved like $300!",1
,,,,,
5,ATT compatible and works great!,22-May-18,Yes,Um yeah.. this thing is awesome. I use ATT and I just put the sim chip in and we were all set. No bloatware and was cheaper!,2
,,,,,
5,I love this phone.,13-May-18,Yes,"I switch from Apple (6s+) and I'm really happy I did. I love this phone so much. I thought I would have to relearn how to use an entirely new phone, however it was super easy to use. I does a lot of cool stuff and takes really nice pictures! The phone arrived sooner than expected shipping to an APO address.",1
,,,,,
5,feels much better with it,23-May-18,Yes,"Worked perfectly! Got my S6 converted to the S9+. I needed a new SIM card from Verizon, so had to go to the store just to get a free SIM card. Also, I went with a screen protector and case, feels much better with it...The phone doesn't feel too large. Bixby can be ignored, just OK Google it! Definitively a huge improvement from the S6.",1
,,,,,
5,"Great phone, buy it!",24-May-18,Yes,This is a great phone. I just upgraded from an HTC phone &amp; the Galaxy S9 plus makes it look like a toy. I'm in a not so great service area &amp; so far so good. I also had problems with Wi-Fi in my house with the other phone &amp; so far have had no issues with that.,2
,,,,,
5,Awesome phone. Excellent battery life,30-May-18,Yes,"Awesome phone. Excellent battery life. Tempted to give 4 stars just because Facebook came preinstalled. I buy factory unlocked phones because I want NO bloatware. FYI, the bootloader can not be unlocked if you are in to that thing.",1
,,,,,
5,Excellent smartphone for the busy professional as well as for ...,20-Jun-18,Yes,Excellent smartphone for the busy professional as well as for those moments when you just need to relax and unwind. A super fast processor and an awesome camera that is above average. I especially like the speed with which the Intellegent Scanner and Fingerprint Scanner both work to unlock the screen. This comes in handy in situations where you need a quick peek at messages or other info on the notification panel. The best smartphone that Samsung has ever produced and definitely the best smartphone for 2018.,1
,,,,,
5,It is an awesome one!,24-May-18,Yes,"It is an awesome one!!!!! Now able to use it more easy yeah. The battery is lasting me much longer, if I do not use it all the time, I do not need to charge it until the the next. Is is easy to set it up and get all your data back on.",1
,,,,,
5,Very happy,18-May-18,Yes,Fast shipping. Super easy to set up on my existing Verizon account. The lilac purple is very pretty. This phone is awesome! I upgraded from the Galaxy S6 Edge + and it is a huge improvement. It is the first time I bought an unlocked phone and I think I will continue to do so as all the extra Verizon apps aren't present and in my way. Love it!,1
,,,,,
5,100% my recommendation for all Samsung's lovers,20-Jun-18,Yes,"I cannot say much. There are many reviews of Galaxy S9. My opinion is that this phone is most modern and luxury these days. I love everything about this device. Great camera, awesome software, fast and productive, easy to use and reliable smartphone. I like it and would recommend this phone.",0
,,,,,
3,The speaker distorts really bad when the music is at high volume,18-Jul-18,Yes,"The speaker distorts really bad when the music is at high volume. The reason i bought this was for the camera and the new speakers. The camera's front flash when on whatsapp conversations does not work. If you need to send someone a picture, you have to go the the camera itself, take the picture then go back into whatsapp to send it. I mean its not a huge deal but i'd like if the front flash worked in whatsapp. All in all, good phone but mehhh!",0
,,,,,
5,The Pinnacle of all 2018 Smartphones,08-Jul-18,Yes,"I was considering the Iphone X - but after reading the pros and cons of each phone on *reputable* websites, I went with this *Awesome*  Unlocked Samsung Galaxy S9+  It is super fast and exceeds all of my expectations and no Verizon bloatware! The camera and iris scanner work incredibly well!",0
,,,,,
5,Love it.,15-Jul-18,Yes,This is just more fun than anyone needs to have.  Change the SIM and the memory card and travel the world without getting lost or missing out on anything.  Don't speak the language?  There is an app for that!  Don't know where to find yourself?  GPS your location.  Life is good.,0
,,,,,
5,Pretty good,10-Jun-18,Yes,At first I was sent a display phone. No SIM card slot was present and it felt super light. After the exchange it's working well!,1
,,,,,
4,Great phone,05-May-18,Yes,"Very easy to handle and it is much faster than my previous phone. The camera takes very clear, sharp photos. I highly recommend.",1
,,,,,
5,"Great deal when bundled with Wireless charger, VR and ear buds",28-May-18,Yes,Awesome! I love this phone. So far no issues and it was decent enough deal when bundled.,1
,,,,,
5,Great phone,02-May-18,Yes,simple a great phone....surpassed all my needs,2
,,,,,
5,This phone is beautiful to look at,22-Jun-18,Yes,"This phone is beautiful to look at, feels like a quality product in your hand, is fast, the battery lasts forever and has the latest tech available.  Would definitely recommend.",0
,,,,,
5,"Good enough for a first ""premium"" phone.",17-Jun-18,Yes,"I only use it for its camera, calendar, Waze, and YouTube...SMS and calls too!  You can't get rid of the annoying Bixby and Samsung bloatware.",1
,,,,,
5,Best galaxy yet.,07-May-18,Yes,"Its everything I expected and more.  I went from an S7 edge to the 9+ and I'm in love.  The camera, the screen, its fast and responsive.  Took time getting used to but I'm still digging it.",1
,,,,,
5,Thanks,17-Jun-18,Yes,Thanks A+++++,1
,,,,,
5,Amazing camera on this!,04-Jul-18,Yes,"The Samsung Galaxy S9 is probably the most amazing phone I have bought to date.  The camera has great features, so if you use the camera function on your cell phone a lot, this is the phone for you!..The wireless charge function is probably the best part of this phone.  My last phone had the charging port go bad after 5 years of use (I loved the phone so much I used it until I just could not eek out another charge).  Not having to stick in a plug every day should make this a non issue for this S9...I could write an extensive technical review, but there are lots of those.  SO Ill stick with these two most practical features for the every day phone users!",3
,,,,,
5,I am an android user..... ...,16-Jun-18,Yes,I am an android user.....i would say samsung user i loveed itt!! Bought on after 2 days of its release on market!! thanks alot!!,1
,,,,,
5,excellent cell,23-May-18,Yes,"Product is exact as the description says, a very beautiful color, it feels good in the hand, excellent screen quality, finally an excellent cell",0
,,,,,
5,Five Stars,15-May-18,Yes,AWESOME,1
,,,,,
5,and worked great right out of,03-May-18,Yes,"Arrived as scheduled, very securely packaged, and worked great right out of box",1
,,,,,
5,"nice phone, faster than my latest",23-May-18,Yes,"ordered this before they released the phone...and came at the right time. nice phone, faster than my latest iphone",0
,,,,,
5,Wife is very happy with it so far,25-Mar-18,Yes,"Wife is very happy with it so far.  Fast, great battery, great camera.  I see some people are unhappy that carrier visual voicemail is unavailable from the play store for this unlocked phone (and the s8) but it IS possible to get it working. I installed it from another source, called up carrier with sim imei and iccid and 2 min later visual voicemail was working great.  I might buy another one for myself.",21
,,,,,
5,ios now Android person,30-May-18,Yes,"love it, upgraded from iphone 7plus",1
,,,,,
5,I'm in first-world heaven...,22-Mar-18,Yes,"I'm upgrading from am S5 and am totally enamored with this phone. Transferring files from my old device was a breeze. Battery life is amazing, comparatively speaking, and I'm loving the customization abilities. I've had galaxies since the original S and stroll feel these are the best phones on the market. The camera is astounding. Very pleased with my purchase and highly recommend this version.",22
,,,,,
5,"Excellent hardware, great software, use third party app to remap bixby and it's perfect",11-Jun-18,Yes,"I love this phone, i have like 2 months with it, and i keep discovering new things about it.",0
,,,,,
5,Best phone I ever had,04-Jun-18,Yes,"Best phone I ever had. Liked it so well, I bought another one for my wife. Working great in the Philippines.",0
,,,,,
3,Solid phone with issues.,25-Jun-18,Yes,"The Galaxy S8 Plus battery was great, this feels like a major step backward, as I needed to charge the phone at least 3 times just to get through 8-5...There are also major software problems too: the VPN simply refused to function after switched from Wi-Fi to cellular, requiring manual disconnect and reconnect to the VPN. My office has several Wi-Fi dead spots, as you can see it can get frustrating very quickly. Samsung support is virtually useless, they kept on saying it is not a problem...Now the good: camera is phenomenal, the best out there; performance is light years ahead of the S8, I don't even see the stuttering in the Google Play Store, that's how smooth the phone is...Overall, solid phone hindered by poor battery life and my personal issue with VPN according to Samsung, so I decided to deal with it as a customer who has an issue with the product: returning it. Guess I would use the S8 one more year.",2
,,,,,
3,No USB Cable?,12-Jul-18,Yes,I haven't had much time with the phone as of yet.  I am disappointed that the description says it comes with a USB cable but mine didn't.,0
,,,,,
5,I bought one for my wife and liked it so much I bought another the day after ...,05-Apr-18,Yes,"I bought one for my wife and liked it so much I bought another the day after getting it..Great price, actually the lowest and best price online. Will definitely buy again.",5
,,,,,
2,Need to get a carrier phone if you want the full features.,01-Jul-18,Yes,No WiFi calling and other missing features.  This is not disclosed,0
,,,,,
5,awesome phone,21-May-18,Yes,by far the best phone on the market for 2018.  10 times better than the iPhone.,0
,,,,,
5,Five Stars,19-Jul-18,Yes,"Best phone I've ever owned. Beautiful design, screen, camera, etc....",0
,,,,,
5,Five Stars,26-Jun-18,Yes,Best phone I've ever had. I would recommend to anybody !,0
,,,,,
5,Awesome phone and works perfectly,22-Jun-18,Yes,Thank you Amazon.  Awesome phone and works perfectly!,0
,,,,,
5,Great phone! I moved my Verizon SIM card from ...,14-Jul-18,Yes,"Great phone!  I moved my Verizon SIM card from my old phone to this one and it connected immediately, no worries.",1
,,,,,
5,Five Stars,24-Jun-18,Yes,excellent...arrived on time and brand new. everything functions as it should,0
,,,,,
5,"Great phone, as to be expected",11-Jul-18,Yes,Upgraded from my s7 and absolutely love this phone.,0
,,,,,
5,s9 plus phone is perfection.,21-Jun-18,Yes,"Love the new Samsung  Galaxy S9  Phone.  Had a s7 edge, this is more efficient,  better in everyway. Absolutely would recommend this phone to anyone.",1
,,,,,
5,Five Stars,10-Jul-18,Yes,"Fantastic, and this is coming from recently converted apple fan girl.",0
,,,,,
